iter	Passed	Remaining
0	146	146148
1	149	74696
2	153	50911
3	156	39031
4	160	31865
5	163	27125
6	166	23675
7	170	21111
8	173	19131
9	176	17428
10	177	15995
11	179	14789
12	181	13762
13	183	12895
14	184	12133
15	186	11474
16	188	10888
17	190	10387
18	192	9931
19	194	9511
20	195	9136
21	197	8794
22	199	8486
23	201	8210
24	203	7952
25	205	7714
26	207	7485
27	209	7280
28	211	7082
29	213	6894
30	215	6727
31	217	6565
32	218	6412
33	220	6267
34	222	6134
35	224	6003
36	225	5878
37	227	5761
38	229	5651
39	231	5546
40	232	5448
41	234	5351
42	236	5263
43	238	5179
44	240	5097
45	241	5018
46	243	4940
47	245	4868
48	247	4799
49	249	4735
50	251	4676
51	253	4618
52	255	4559
53	257	4504
54	259	4452
55	261	4400
56	262	4347
57	264	4300
58	266	4251
59	268	4204
60	270	4160
61	272	4116
62	273	4072
63	275	4032
64	277	3991
65	279	3952
66	281	3915
67	282	3877
68	284	3842
69	286	3808
70	288	3774
71	290	3740
72	291	3706
73	293	3674
74	295	3642
75	297	3613
76	299	3584
77	300	3556
78	302	3529
79	304	3503
80	306	3480
81	308	3456
82	310	3430
83	312	3406
84	314	3383
85	315	3358
86	317	3336
87	319	3315
88	321	3293
89	323	3273
90	325	3253
91	327	3232
92	329	3211
93	331	3192
94	333	3172
95	334	3153
96	336	3133
97	338	3115
98	340	3098
99	342	3078
100	343	3061
101	345	3044
102	347	3027
103	349	3010
104	351	2994
105	353	2978
106	354	2962
107	356	2946
108	358	2931
109	360	2915
110	362	2901
111	364	2886
112	365	2872
113	367	2858
114	369	2844
115	371	2830
116	373	2817
117	375	2805
118	377	2792
119	378	2779
120	380	2766
121	382	2754
122	384	2742
123	386	2730
124	388	2719
125	390	2706
126	392	2699
127	394	2689
128	396	2680
129	399	2671
130	401	2661
131	403	2653
132	405	2643
133	407	2634
134	409	2626
135	412	2618
136	414	2610
137	416	2601
138	418	2593
139	420	2584
140	422	2575
141	424	2567
142	426	2558
143	429	2550
144	431	2542
145	433	2533
146	435	2524
147	437	2516
148	439	2507
149	441	2500
150	443	2491
151	444	2482
152	446	2473
153	448	2466
154	450	2458
155	452	2449
156	454	2440
157	456	2432
158	458	2423
159	460	2415
160	462	2408
161	464	2401
162	466	2393
163	468	2385
164	469	2377
165	471	2369
166	473	2361
167	475	2354
168	477	2346
169	479	2338
170	480	2331
171	482	2324
172	484	2316
173	486	2308
174	488	2301
175	490	2294
176	492	2288
177	494	2281
178	495	2274
179	497	2266
180	499	2260
181	501	2253
182	503	2248
183	505	2242
184	507	2235
185	509	2228
186	511	2223
187	513	2216
188	514	2209
189	516	2201
190	518	2195
191	520	2189
192	521	2182
193	523	2176
194	525	2169
195	527	2163
196	529	2156
197	530	2149
198	532	2144
199	534	2138
200	536	2132
201	538	2126
202	540	2120
203	541	2113
204	543	2107
205	545	2101
206	547	2096
207	548	2090
208	550	2084
209	552	2079
210	554	2073
211	556	2067
212	558	2062
213	560	2056
214	561	2051
215	563	2046
216	565	2041
217	567	2036
218	569	2030
219	571	2025
220	572	2019
221	574	2014
222	576	2009
223	578	2003
224	580	1999
225	582	1994
226	584	1989
227	586	1985
228	588	1980
229	589	1975
230	591	1969
231	593	1964
232	595	1959
233	597	1954
234	598	1949
235	600	1944
236	602	1941
237	604	1936
238	606	1931
239	608	1927
240	610	1924
241	613	1920
